"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23, 2019","27.74","27.83","28.39","27.35","359.23K","-1.00%"
"Aug 22, 2019","28.02","29.89","30.22","27.98","264.51K","-6.26%"
"Aug 21, 2019","29.89","29.38","30.17","28.96","381.32K","2.22%"
"Aug 20, 2019","29.24","28.86","29.79","28.86","563.64K","0.93%"
"Aug 19, 2019","28.97","29.73","30.17","28.44","315.77K","-1.53%"
"Aug 16, 2019","29.42","29.10","29.88","28.81","394.83K","2.44%"
"Aug 15, 2019","28.72","28.14","29.47","27.55","473.36K","2.46%"
"Aug 14, 2019","28.03","29.13","29.57","27.73","730.73K","-4.89%"
"Aug 13, 2019","29.47","29.19","29.97","28.67","550.06K","0.72%"
"Aug 12, 2019","29.26","30.82","31.18","29.25","603.30K","-5.83%"
"Aug 09, 2019","31.07","31.62","32.48","31.05","233.61K","-1.86%"
"Aug 08, 2019","31.66","30.96","31.96","30.45","308.10K","2.46%"
"Aug 07, 2019","30.90","31.16","32.10","30.43","394.19K","-2.83%"
"Aug 06, 2019","31.80","31.49","32.39","30.81","363.34K","1.63%"
"Aug 05, 2019","31.29","32.00","32.49","30.73","456.54K","-3.99%"
"Aug 02, 2019","32.59","32.87","33.84","31.75","745.10K","-1.18%"
"Aug 01, 2019","32.98","34.42","34.89","32.90","912.78K","-3.11%"
"Jul 31, 2019","34.04","33.89","34.80","33.29","489.21K","0.50%"
"Jul 30, 2019","33.87","33.04","33.98","32.76","412.45K","1.62%"
"Jul 29, 2019","33.33","34.22","35.27","32.37","724.41K","-7.62%"
"Jul 26, 2019","36.08","36.08","36.96","34.99","472.05K","0.33%"
"Jul 25, 2019","35.96","34.25","36.28","34.02","647.97K","4.84%"
"Jul 24, 2019","34.30","34.34","34.50","33.13","1.93M","2.11%"
"Jul 23, 2019","33.59","34.28","35.13","32.42","753.24K","-6.67%"
"Jul 22, 2019","35.99","33.74","36.25","33.67","457.47K","7.34%"
"Jul 19, 2019","33.53","34.40","34.44","32.92","342.59K","-2.61%"
"Jul 18, 2019","34.43","32.67","34.43","32.67","352.13K","5.65%"
"Jul 17, 2019","32.59","33.43","33.44","32.48","198.88K","-2.95%"
"Jul 16, 2019","33.58","33.20","33.93","32.99","210.65K","1.21%"
"Jul 15, 2019","33.18","33.29","33.55","32.12","372.70K","0.33%"
"Jul 12, 2019","33.07","32.65","33.23","32.06","472.52K","1.29%"
"Jul 11, 2019","32.65","32.88","33.77","31.24","423.60K","-1.12%"
"Jul 10, 2019","33.02","32.79","33.14","32.50","409.55K","1.23%"
"Jul 09, 2019","32.62","31.74","33.23","31.26","487.21K","2.71%"
"Jul 08, 2019","31.76","32.44","32.69","31.25","474.88K","-2.19%"
"Jul 05, 2019","32.47","33.99","34.50","31.85","528.70K","-5.25%"
"Jul 03, 2019","34.27","33.25","34.28","33.20","208.63K","3.35%"
"Jul 02, 2019","33.16","32.92","33.23","31.58","638.66K","0.15%"
"Jul 01, 2019","33.11","30.05","33.40","29.81","943.49K","10.11%"
"Jun 28, 2019","30.07","28.56","30.41","28.37","3.24M","4.85%"
"Jun 27, 2019","28.68","27.57","29.39","27.57","546.89K","5.09%"
"Jun 26, 2019","27.29","27.27","28.01","26.85","733.42K","0.11%"
"Jun 25, 2019","27.26","26.55","28.04","25.78","473.73K","3.97%"
"Jun 24, 2019","26.22","25.09","26.66","25.02","765.87K","2.78%"
"Jun 21, 2019","25.51","23.81","25.95","23.28","1.32M","8.28%"
"Jun 20, 2019","23.56","24.23","25.32","23.11","538.46K","-1.42%"
"Jun 19, 2019","23.90","23.34","24.25","23.14","576.26K","1.88%"
"Jun 18, 2019","23.46","23.00","23.65","21.92","336.69K","3.17%"
"Jun 17, 2019","22.74","21.39","23.25","20.94","419.18K","6.96%"
"Jun 14, 2019","21.26","21.00","21.95","20.58","405.75K","1.29%"
"Jun 13, 2019","20.99","20.93","21.03","20.44","293.67K","0.57%"
"Jun 12, 2019","20.87","19.93","21.02","19.64","302.54K","4.98%"
"Jun 11, 2019","19.88","20.70","21.32","19.86","313.75K","-4.29%"
"Jun 10, 2019","20.77","21.10","21.62","20.58","367.92K","-1.14%"
"Jun 07, 2019","21.01","20.39","21.10","19.86","235.99K","3.04%"
"Jun 06, 2019","20.39","20.93","21.07","20.08","356.51K","-3.14%"
"Jun 05, 2019","21.05","21.73","21.81","20.92","275.09K","-2.27%"
"Jun 04, 2019","21.54","21.59","22.00","20.21","327.85K","0.47%"
"Jun 03, 2019","21.44","21.64","22.21","21.00","323.76K","-0.88%"
"May 31, 2019","21.63","22.35","22.58","21.19","391.13K","-4.29%"
"May 30, 2019","22.60","23.15","23.15","22.09","235.53K","-1.82%"
"May 29, 2019","23.02","23.46","23.58","22.94","191.84K","-2.87%"
"May 28, 2019","23.70","23.70","24.41","23.45","318.19K","0.17%"
"May 24, 2019","23.66","23.42","23.96","23.02","211.23K","1.37%"
"May 23, 2019","23.34","23.13","23.47","22.36","237.77K","-0.26%"
"May 22, 2019","23.40","23.51","24.29","23.29","289.54K","0.43%"
"May 21, 2019","23.30","22.64","23.50","22.41","196.59K","3.23%"
"May 20, 2019","22.57","24.43","24.62","22.49","364.93K","-7.88%"
"May 17, 2019","24.50","24.31","24.75","23.53","355.69K","2.73%"
"May 16, 2019","23.85","24.10","24.83","23.52","524.51K","-1.04%"
"May 15, 2019","24.10","23.46","24.45","23.22","362.66K","1.90%"
"May 14, 2019","23.65","23.03","24.05","22.29","217.29K","2.92%"
"May 13, 2019","22.98","23.80","23.92","22.67","327.90K","-4.69%"
"May 10, 2019","24.11","23.62","24.95","23.23","301.48K","0.50%"
"May 09, 2019","23.99","22.98","24.59","21.50","417.10K","3.32%"
"May 08, 2019","23.22","21.49","23.86","21.30","411.12K","8.30%"
"May 07, 2019","21.44","22.50","22.87","21.25","386.13K","-4.46%"
"May 06, 2019","22.44","21.50","22.61","21.46","265.43K","2.28%"
"May 03, 2019","21.94","22.16","22.45","21.38","271.93K","-0.99%"
"May 02, 2019","22.16","21.67","22.27","21.37","283.78K","2.12%"
"May 01, 2019","21.70","22.16","22.41","21.56","319.55K","-2.25%"
"Apr 30, 2019","22.20","22.76","22.89","21.37","456.29K","-2.80%"
"Apr 29, 2019","22.84","22.74","23.00","22.16","333.31K","0.40%"
"Apr 26, 2019","22.75","22.62","22.93","22.10","300.53K","0.18%"
"Apr 25, 2019","22.71","21.55","22.91","21.18","229.81K","4.90%"
"Apr 24, 2019","21.65","21.96","22.27","21.35","414.71K","-1.41%"
"Apr 23, 2019","21.96","21.27","22.10","21.00","311.23K","3.29%"
"Apr 22, 2019","21.26","20.39","21.83","20.30","486.10K","3.30%"
"Apr 18, 2019","20.58","20.93","21.16","20.19","298.94K","-1.95%"
"Apr 17, 2019","20.99","21.93","22.04","20.55","364.85K","-4.29%"
"Apr 16, 2019","21.93","22.89","23.26","21.69","285.06K","-3.18%"
"Apr 15, 2019","22.65","22.72","23.12","21.80","248.91K","-0.31%"
"Apr 12, 2019","22.72","23.25","23.65","22.21","525.96K","-2.15%"
"Apr 11, 2019","23.22","23.43","23.93","21.76","512.09K","-0.98%"
"Apr 10, 2019","23.45","23.80","24.00","23.11","604.31K","-0.85%"
"Apr 09, 2019","23.65","23.02","24.21","22.66","436.85K","2.69%"
"Apr 08, 2019","23.03","23.53","24.00","22.80","338.65K","-2.04%"
"Apr 05, 2019","23.51","22.83","23.83","22.26","445.75K","3.30%"
"Apr 04, 2019","22.76","22.40","23.47","21.30","625.79K","1.65%"
"Apr 03, 2019","22.39","21.00","22.41","20.74","478.34K","7.23%"
"Apr 02, 2019","20.88","20.83","21.50","20.65","673.75K","0.43%"
"Apr 01, 2019","20.79","22.57","22.75","20.56","534.98K","-7.19%"
"Mar 29, 2019","22.40","22.45","22.79","21.77","515.94K","0.13%"
"Mar 28, 2019","22.37","22.24","22.81","21.90","324.62K","0.18%"
"Mar 27, 2019","22.33","23.20","23.32","22.19","526.81K","-4.33%"
"Mar 26, 2019","23.34","24.27","24.43","22.96","335.06K","-3.55%"
"Mar 25, 2019","24.20","23.81","24.49","23.55","402.08K","1.34%"
"Mar 22, 2019","23.88","24.80","25.18","23.40","470.46K","-4.48%"
"Mar 21, 2019","25.00","25.02","25.03","23.84","619.89K","-0.20%"
"Mar 20, 2019","25.05","27.07","27.29","24.93","506.38K","-7.53%"
"Mar 19, 2019","27.09","26.60","27.47","26.45","349.31K","0.82%"
"Mar 18, 2019","26.87","27.15","27.68","26.12","689.73K","-1.29%"
"Mar 15, 2019","27.22","26.90","27.35","26.56","2.21M","2.48%"
"Mar 14, 2019","26.56","27.10","27.21","25.63","491.69K","-1.92%"
"Mar 13, 2019","27.08","25.49","27.35","25.28","448.52K","7.76%"
"Mar 12, 2019","25.13","26.06","26.27","24.78","589.26K","-3.20%"
"Mar 11, 2019","25.96","26.68","27.01","24.05","963.45K","-0.08%"
"Mar 08, 2019","25.98","22.02","26.00","21.99","1.35M","18.52%"
"Mar 07, 2019","21.92","19.32","22.63","18.91","1.04M","13.87%"
"Mar 06, 2019","19.25","19.48","19.67","18.91","502.09K","-1.28%"
"Mar 05, 2019","19.50","20.41","20.63","18.90","585.28K","-4.41%"
"Mar 04, 2019","20.40","19.50","20.62","19.41","463.82K","4.67%"
"Mar 01, 2019","19.49","19.39","19.65","19.03","312.61K","1.14%"
"Feb 28, 2019","19.27","19.47","19.74","18.92","297.75K","-1.13%"
"Feb 27, 2019","19.49","19.97","20.30","19.27","313.42K","-2.45%"
"Feb 26, 2019","19.98","19.73","20.12","19.33","424.85K","1.01%"
"Feb 25, 2019","19.78","19.62","20.10","19.19","416.91K","2.28%"
"Feb 22, 2019","19.34","20.00","20.24","19.10","393.46K","-1.12%"
"Feb 21, 2019","19.56","18.48","19.72","18.06","349.38K","5.50%"
"Feb 20, 2019","18.54","19.60","19.68","18.29","384.71K","-4.97%"
"Feb 19, 2019","19.51","20.00","20.63","19.39","251.38K","-2.69%"
"Feb 15, 2019","20.05","20.35","20.35","19.56","187.89K","-1.38%"
"Feb 14, 2019","20.33","19.89","20.58","19.61","138.78K","1.75%"
"Feb 13, 2019","19.98","19.91","20.25","19.17","146.52K","0.30%"
"Feb 12, 2019","19.92","20.72","20.73","19.61","158.33K","-2.78%"
"Feb 11, 2019","20.49","19.61","20.57","19.48","273.12K","5.40%"
"Feb 08, 2019","19.44","20.15","20.95","19.42","391.14K","-2.16%"
"Feb 07, 2019","19.87","20.61","20.61","18.35","462.24K","-4.56%"
"Feb 06, 2019","20.82","20.36","21.51","20.02","209.21K","0.48%"
"Feb 05, 2019","20.72","22.00","22.06","19.86","510.67K","-5.86%"
"Feb 04, 2019","22.01","20.98","22.25","20.77","310.68K","4.81%"
"Feb 01, 2019","21.00","20.75","21.02","20.14","349.37K","2.29%"
"Jan 31, 2019","20.53","19.84","21.00","19.84","224.78K","3.90%"
"Jan 30, 2019","19.76","19.41","20.48","19.25","207.82K","2.07%"
"Jan 29, 2019","19.36","19.11","19.88","18.97","193.27K","0.78%"
"Jan 28, 2019","19.21","19.66","19.72","19.18","133.06K","-2.83%"
"Jan 25, 2019","19.77","19.53","19.84","18.99","200.64K","1.44%"
"Jan 24, 2019","19.49","19.94","20.43","19.32","160.73K","-2.50%"
"Jan 23, 2019","19.99","19.41","20.01","19.13","156.96K","3.36%"
"Jan 22, 2019","19.34","19.89","20.07","18.78","224.05K","-3.30%"
"Jan 18, 2019","20.00","20.50","20.67","19.74","201.50K","-2.44%"
"Jan 17, 2019","20.50","20.03","20.57","19.50","231.65K","2.30%"
"Jan 16, 2019","20.04","19.70","20.79","19.70","464.38K","2.19%"
"Jan 15, 2019","19.61","19.35","19.76","18.59","375.67K","1.29%"
"Jan 14, 2019","19.36","19.95","20.11","19.32","433.69K","-3.87%"
"Jan 11, 2019","20.14","20.62","21.20","19.84","381.81K","-2.85%"
"Jan 10, 2019","20.73","21.39","21.40","19.74","583.04K","-4.07%"
"Jan 09, 2019","21.61","22.10","22.34","21.43","298.75K","-1.82%"
"Jan 08, 2019","22.01","23.70","23.90","21.04","798.86K","-6.38%"
"Jan 07, 2019","23.51","21.35","23.64","20.81","741.56K","10.12%"
"Jan 04, 2019","21.35","22.21","22.21","20.40","727.12K","-3.44%"
"Jan 03, 2019","22.11","21.67","22.53","20.82","939.66K","0.96%"
"Jan 02, 2019","21.90","17.91","22.15","17.48","943.52K","20.33%"
"Dec 31, 2018","18.20","18.40","19.15","17.93","555.55K","0.11%"
"Dec 28, 2018","18.18","18.30","18.84","17.74","775.90K","-0.44%"
"Dec 27, 2018","18.26","17.36","18.31","17.25","491.37K","3.05%"
"Dec 26, 2018","17.72","16.07","17.81","16.04","351.05K","10.89%"
"Dec 24, 2018","15.98","15.54","16.72","15.23","422.64K","1.33%"
"Dec 21, 2018","15.77","16.34","16.63","15.40","649.04K","-3.78%"
"Dec 20, 2018","16.39","16.88","17.68","16.08","465.58K","-4.10%"
"Dec 19, 2018","17.09","18.14","18.52","16.84","562.27K","-6.66%"
"Dec 18, 2018","18.31","16.66","18.40","16.65","539.50K","10.63%"
"Dec 17, 2018","16.55","16.95","17.68","15.86","662.73K","1.60%"
"Dec 14, 2018","16.29","16.55","17.15","15.97","626.94K","-1.15%"
"Dec 13, 2018","16.48","17.20","17.48","16.13","361.17K","-3.40%"
"Dec 12, 2018","17.06","17.51","18.50","16.69","3.01M","7.23%"
"Dec 11, 2018","15.91","17.01","17.09","15.31","1.23M","-9.70%"
"Dec 10, 2018","17.62","17.00","19.80","14.65","4.08M","7.05%"
"Dec 07, 2018","16.46","16.22","16.47","15.53","241.59K","1.42%"
